pair,key,layer_idx,rel_depth,sub_module,shape,fro_delta,sigma_1_delta,stable_rank_delta,effective_rank_top64_delta,top_align_with_W_LLM
qwen3,model.layers.20.mlp.down_proj.weight,20,0.5714285714285714,mlp.down_proj,,37.53287124633789,1.1482322216033936,1068.4743929312037,62.52763838132419,0.039149947464466095
qwen3,model.layers.20.mlp.gate_proj.weight,20,0.5714285714285714,mlp.gate_proj,,42.37139129638672,2.605370283126831,264.4883447675328,56.73712642077327,0.031606778502464294
qwen3,model.layers.20.mlp.up_proj.weight,20,0.5714285714285714,mlp.up_proj,,38.614418029785156,2.3476927280426025,270.53065137166084,56.32703750420895,0.05691387504339218
qwen3,model.layers.20.self_attn.k_proj.weight,20,0.5714285714285714,self_attn.k_proj,,11.353971481323242,1.096073865890503,107.30401009336414,59.48183358471087,0.025960765779018402
qwen3,model.layers.20.self_attn.o_proj.weight,20,0.5714285714285714,self_attn.o_proj,,19.148252487182617,1.0984405279159546,303.88215281062173,60.55230389680556,0.04534982889890671
qwen3,model.layers.20.self_attn.q_proj.weight,20,0.5714285714285714,self_attn.q_proj,,25.335010528564453,2.5579683780670166,98.09612122448911,55.35833992265712,0.09483101963996887
qwen3,model.layers.20.self_attn.v_proj.weight,20,0.5714285714285714,self_attn.v_proj,,9.206558227539062,0.6096552610397339,228.04783661143838,61.22524781376526,0.04247915744781494
qwen3,model.layers.21.mlp.down_proj.weight,21,0.6,mlp.down_proj,,37.24803924560547,1.340716004371643,771.8505982537935,61.90623130933939,0.019065700471401215
qwen3,model.layers.21.mlp.gate_proj.weight,21,0.6,mlp.gate_proj,,41.897762298583984,2.552164316177368,269.5034894757635,56.7357466646738,0.013488978147506714
qwen3,model.layers.21.mlp.up_proj.weight,21,0.6,mlp.up_proj,,38.010982513427734,2.346264362335205,262.4607120272155,56.218953990383035,0.08276630938053131
qwen3,model.layers.21.self_attn.k_proj.weight,21,0.6,self_attn.k_proj,,11.604796409606934,1.049980640411377,122.1553432242613,59.11208269918793,0.09137324243783951
qwen3,model.layers.21.self_attn.o_proj.weight,21,0.6,self_attn.o_proj,,17.82590103149414,0.9389069676399231,360.46064714880583,60.47874982967836,0.005266709253191948
qwen3,model.layers.21.self_attn.q_proj.weight,21,0.6,self_attn.q_proj,,25.068904876708984,2.1761515140533447,132.70658254423944,55.38529773301448,0.043263621628284454
qwen3,model.layers.21.self_attn.v_proj.weight,21,0.6,self_attn.v_proj,,9.036463737487793,0.5665203928947449,254.4285980864965,61.449227785230775,0.025462664663791656
qwen3,model.layers.22.mlp.down_proj.weight,22,0.6285714285714286,mlp.down_proj,,34.614585876464844,1.554458737373352,495.86092207190273,60.72489584926875,0.07465624809265137
qwen3,model.layers.22.mlp.gate_proj.weight,22,0.6285714285714286,mlp.gate_proj,,41.04439926147461,2.6328647136688232,243.0248697922752,56.046098818674785,0.02956729382276535
qwen3,model.layers.22.mlp.up_proj.weight,22,0.6285714285714286,mlp.up_proj,,36.47922897338867,2.3933510780334473,232.3156579714202,55.2409455149434,0.03349537029862404
qwen3,model.layers.22.self_attn.k_proj.weight,22,0.6285714285714286,self_attn.k_proj,,10.895503997802734,1.0820660591125488,101.38812674580751,58.53636972958121,0.03115818463265896
qwen3,model.layers.22.self_attn.o_proj.weight,22,0.6285714285714286,self_attn.o_proj,,17.502735137939453,1.324474573135376,174.63230692036657,57.902118177433465,0.005824987776577473
qwen3,model.layers.22.self_attn.q_proj.weight,22,0.6285714285714286,self_attn.q_proj,,25.145469665527344,2.2062127590179443,129.90465676633028,55.63691883240487,0.022863972932100296
qwen3,model.layers.22.self_attn.v_proj.weight,22,0.6285714285714286,self_attn.v_proj,,8.468400955200195,0.5704783201217651,220.3558252081569,60.734683727736346,0.014814331196248531
qwen3,model.layers.23.mlp.down_proj.weight,23,0.6571428571428571,mlp.down_proj,,34.44221115112305,1.4559743404388428,559.5960076073517,60.54930111805634,0.0022145670372992754
qwen3,model.layers.23.mlp.gate_proj.weight,23,0.6571428571428571,mlp.gate_proj,,40.45530319213867,2.4818620681762695,265.70249813250507,56.75720431510986,0.05041889101266861
qwen3,model.layers.23.mlp.up_proj.weight,23,0.6571428571428571,mlp.up_proj,,36.39512252807617,2.146486520767212,287.4948308164433,56.1824543201784,0.04238990321755409
qwen3,model.layers.23.self_attn.k_proj.weight,23,0.6571428571428571,self_attn.k_proj,,9.999095916748047,1.4612369537353516,46.825257613704366,52.54422205630678,0.09211937338113785
qwen3,model.layers.23.self_attn.o_proj.weight,23,0.6571428571428571,self_attn.o_proj,,16.2966251373291,1.795761227607727,82.3565548265311,47.22047743360713,0.0029182275757193565
qwen3,model.layers.23.self_attn.q_proj.weight,23,0.6571428571428571,self_attn.q_proj,,22.980125427246094,3.3032147884368896,48.39841744908401,46.98134080804047,0.057596683502197266
qwen3,model.layers.23.self_attn.v_proj.weight,23,0.6571428571428571,self_attn.v_proj,,7.52435302734375,0.7450717687606812,101.9863645721411,56.57937566445149,0.02551640197634697
qwen3,model.layers.24.mlp.down_proj.weight,24,0.6857142857142857,mlp.down_proj,,34.83462905883789,1.2107445001602173,827.7846534995109,61.459835762357315,0.006439652293920517
qwen3,model.layers.24.mlp.gate_proj.weight,24,0.6857142857142857,mlp.gate_proj,,39.37557601928711,2.0889055728912354,355.31719345147775,57.26777503789426,0.008016662672162056
qwen3,model.layers.24.mlp.up_proj.weight,24,0.6857142857142857,mlp.up_proj,,36.201263427734375,1.8210612535476685,395.1830850995919,57.20407501270766,0.03644700348377228
qwen3,model.layers.24.self_attn.k_proj.weight,24,0.6857142857142857,self_attn.k_proj,,11.332717895507812,1.4395077228546143,61.97837105613024,55.93948796906665,0.06039831042289734
qwen3,model.layers.24.self_attn.o_proj.weight,24,0.6857142857142857,self_attn.o_proj,,20.157421112060547,1.4687490463256836,188.35395438303132,58.25091096995602,0.03363244608044624
qwen3,model.layers.24.self_attn.q_proj.weight,24,0.6857142857142857,self_attn.q_proj,,26.163272857666016,2.6608095169067383,96.68443653911538,54.28066266350865,0.06726862490177155
qwen3,model.layers.24.self_attn.v_proj.weight,24,0.6857142857142857,self_attn.v_proj,,9.157261848449707,1.1111879348754883,67.91351849994817,57.80481996665924,0.01716746762394905
qwen3,model.layers.25.mlp.down_proj.weight,25,0.7142857142857143,mlp.down_proj,,35.2432975769043,1.0972280502319336,1031.713873204992,62.11925323432481,0.010510807856917381
qwen3,model.layers.25.mlp.gate_proj.weight,25,0.7142857142857143,mlp.gate_proj,,39.4492073059082,1.8600786924362183,449.7942777671454,57.89753511849518,0.009692709892988205
qwen3,model.layers.25.mlp.up_proj.weight,25,0.7142857142857143,mlp.up_proj,,36.66337966918945,1.6906646490097046,470.27300385015775,57.92586754474807,0.0060654208064079285
qwen3,model.layers.25.self_attn.k_proj.weight,25,0.7142857142857143,self_attn.k_proj,,11.298107147216797,0.972160816192627,135.0626147779592,59.16834219536883,0.046356379985809326
qwen3,model.layers.25.self_attn.o_proj.weight,25,0.7142857142857143,self_attn.o_proj,,20.124099731445312,1.2132915258407593,275.1076032282514,58.51211895157167,0.006110566668212414
qwen3,model.layers.25.self_attn.q_proj.weight,25,0.7142857142857143,self_attn.q_proj,,24.78805923461914,1.9250037670135498,165.81426232066886,56.9709508608176,0.07910095900297165
qwen3,model.layers.25.self_attn.v_proj.weight,25,0.7142857142857143,self_attn.v_proj,,9.337594032287598,0.896338701248169,108.52397180831672,56.852224080458896,0.009103033691644669
