pair,key,layer_idx,rel_depth,sub_module,shape,numel,norm_llm,norm_delta,rel_diff
qwen25,model.layers.25.mlp.gate_proj.weight,25,0.9259259259259259,mlp.gate_proj,18944x3584,67895296,133.32717895507812,77.82612609863281,0.5837228891256654
qwen25,model.layers.25.mlp.up_proj.weight,25,0.9259259259259259,mlp.up_proj,18944x3584,67895296,143.4039306640625,82.2823486328125,0.5737802879724881
qwen25,model.layers.25.post_attention_layernorm.weight,25,0.9259259259259259,post_attention_layernorm,3584,3584,96.76622009277344,2.1066482067108154,0.021770491858533816
qwen25,model.layers.25.self_attn.k_proj.bias,25,0.9259259259259259,self_attn.k_proj.bias,512,512,17.143930435180664,2.3727362155914307,0.138400947470155
qwen25,model.layers.25.self_attn.k_proj.weight,25,0.9259259259259259,self_attn.k_proj,512x3584,1835008,17.700407028198242,11.908547401428223,0.6727838169177072
qwen25,model.layers.25.self_attn.o_proj.weight,25,0.9259259259259259,self_attn.o_proj,3584x3584,12845056,68.80322265625,36.617889404296875,0.5322118352979582
qwen25,model.layers.25.self_attn.q_proj.bias,25,0.9259259259259259,self_attn.q_proj.bias,3584,3584,77.20738983154297,0.7163959741592407,0.00927885239641346
qwen25,model.layers.25.self_attn.q_proj.weight,25,0.9259259259259259,self_attn.q_proj,3584x3584,12845056,55.260555267333984,42.54665756225586,0.7699281586373481
qwen25,model.layers.25.self_attn.v_proj.bias,25,0.9259259259259259,self_attn.v_proj.bias,512,512,9.366129875183105,0.10651019215583801,0.011371846597819653
qwen25,model.layers.25.self_attn.v_proj.weight,25,0.9259259259259259,self_attn.v_proj,512x3584,1835008,33.9321174621582,12.995105743408203,0.38297361660086826
qwen25,model.layers.26.input_layernorm.weight,26,0.9629629629629629,input_layernorm,3584,3584,74.450439453125,1.243645429611206,0.01670433967544573
qwen25,model.layers.26.mlp.down_proj.weight,26,0.9629629629629629,mlp.down_proj,3584x18944,67895296,142.70848083496094,81.65615844726562,0.5721885480772448
qwen25,model.layers.26.mlp.gate_proj.weight,26,0.9629629629629629,mlp.gate_proj,18944x3584,67895296,133.3563690185547,81.64710998535156,0.6122475483266308
qwen25,model.layers.26.mlp.up_proj.weight,26,0.9629629629629629,mlp.up_proj,18944x3584,67895296,144.85986328125,84.36481475830078,0.5823891645852505
qwen25,model.layers.26.post_attention_layernorm.weight,26,0.9629629629629629,post_attention_layernorm,3584,3584,96.43370819091797,1.8147085905075073,0.01881819775005204
qwen25,model.layers.26.self_attn.k_proj.bias,26,0.9629629629629629,self_attn.k_proj.bias,512,512,13.500542640686035,3.0336544513702393,0.22470611234750212
qwen25,model.layers.26.self_attn.k_proj.weight,26,0.9629629629629629,self_attn.k_proj,512x3584,1835008,16.942716598510742,11.582170486450195,0.6836076386633454
qwen25,model.layers.26.self_attn.o_proj.weight,26,0.9629629629629629,self_attn.o_proj,3584x3584,12845056,71.5584487915039,36.598915100097656,0.5114548417159516
qwen25,model.layers.26.self_attn.q_proj.bias,26,0.9629629629629629,self_attn.q_proj.bias,3584,3584,82.6484146118164,0.6579576134681702,0.007960922378952696
qwen25,model.layers.26.self_attn.q_proj.weight,26,0.9629629629629629,self_attn.q_proj,3584x3584,12845056,51.71805191040039,41.80003356933594,0.8082290810518723
qwen25,model.layers.26.self_attn.v_proj.bias,26,0.9629629629629629,self_attn.v_proj.bias,512,512,9.000923156738281,0.09397119283676147,0.010440172768991217
qwen25,model.layers.26.self_attn.v_proj.weight,26,0.9629629629629629,self_attn.v_proj,512x3584,1835008,40.575130462646484,15.866506576538086,0.3910401863314971
qwen25,model.layers.27.input_layernorm.weight,27,1.0,input_layernorm,3584,3584,90.04376220703125,1.7460633516311646,0.019391274962684973
qwen25,model.layers.27.mlp.down_proj.weight,27,1.0,mlp.down_proj,3584x18944,67895296,132.4913787841797,78.69237518310547,0.5939433637511654
qwen25,model.layers.27.mlp.gate_proj.weight,27,1.0,mlp.gate_proj,18944x3584,67895296,138.70877075195312,80.41741943359375,0.5797572784881839
qwen25,model.layers.27.mlp.up_proj.weight,27,1.0,mlp.up_proj,18944x3584,67895296,143.99021911621094,82.26172637939453,0.5713007930976418
qwen25,model.layers.27.post_attention_layernorm.weight,27,1.0,post_attention_layernorm,3584,3584,129.33680725097656,1.245413899421692,0.009629230270119324
qwen25,model.layers.27.self_attn.k_proj.bias,27,1.0,self_attn.k_proj.bias,512,512,920.4673461914062,4.174936771392822,0.0045356706988763365
qwen25,model.layers.27.self_attn.k_proj.weight,27,1.0,self_attn.k_proj,512x3584,1835008,18.00940704345703,12.723858833312988,0.7065118136654962
qwen25,model.layers.27.self_attn.o_proj.weight,27,1.0,self_attn.o_proj,3584x3584,12845056,66.82128143310547,34.213138580322266,0.512009614999271
qwen25,model.layers.27.self_attn.q_proj.bias,27,1.0,self_attn.q_proj.bias,3584,3584,180.87464904785156,0.6117633581161499,0.003382250422248526
